StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Page1,Q_Country,Q_Ethnicity,Q_Genres,Q_GenreOther,Q_Age,Q_Musicianship,Baseline_Teental,Baseline_Rupak,Base_Teental_sd1_1,Base_Teental_Complex_1,Base_Teental_sp1_1,Base_Teental_Basic_1,Base_Teental_Naturl_1,Teental Tutorial,1. Dadra,5. Keherva,4. Jhaptal,2. Deepchandi,3. TeentalComplex,Testing_Teental,Test_Teental_sd1_1,Test_Teental_Complex_1,Test_Teental_sp1_1,Test_Teental_Basic_1,Test_Teental_Naturl_1,Test_Teental_Naturll_1,Base_Rupak_sd1_1,Base_Rupak_Complex_1,Base_Rupak_sp1_1,Base_Rupak_Basic_1,Base_Rupak_Naturl_1,Rupak_Tutorial,1. Dadra,3. Rupak Complex,5. Keherva,4.Jhaptal,2. Deepchandi,Testing_Rupak,Test_Rupak_sd1_1,Test_Rupak_Complex_1,Test_Rupak_sp1_1,Test_Rupak_Basic_1,Test_Rupak_Naturl_1,Test_Rupak_Naturl2_1,SC0,SC1,Score,Score1.2,Score 1.3,Score 1.4,Score2,Score2.2,Score2.3,Score2.4
08/09/2023 04:01,08/09/2023 04:08,100,438,TRUE,08/09/2023 04:08,R_3qVcIjjGEv9IoNF,,,,,41.4713,-72.4082,anonymous,EN-GB,Yes,United States of America,Caucasian,"Jazz ,Rock  ,Pop ,Western Classical ,Other Indian Music",,32,Amateur musician,Continue,,Similar,Moderately Similar,Similar,Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",Yes,No,No,No,Yes,Continue,Very Similar,Very Similar,Very Similar,Extremely Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
08/09/2023 19:30,08/09/2023 19:50,100,1216,TRUE,08/09/2023 19:50,R_2TYGG06vV3ADVbZ,,,,,53.2068,-2.9886,qr,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White - British,"Jazz ,Rock  ,Folk ,Reggae ,Other Indian Music,Others",Psychedelic. World. Mongolian trad. Trance. Hip Hop,23,Serious amateur musician,Continue,,Not Similar,Moderately Similar,Not at all similar,Slightly Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,Yes,Continue,Not at all similar,Slightly Similar,Not Similar,Moderately Similar,Similar,Very Similar,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
08/09/2023 23:09,08/09/2023 23:22,100,761,TRUE,08/09/2023 23:22,R_WvOJJzbxYCk7Oc9,,,,,41.0247,28.9252,anonymous,EN-GB,Yes,Turkey,Mixed,"Jazz ,Rock  ,Metal ,Latin ,Western Classical ,Others","Progressive rock, contemporary minimalist, shoegaze, postrock",39,Music-loving nonmusician,Continue,,Similar,Moderately Similar,Moderately Similar,Very Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,Yes,Yes,Continue,Moderately Similar,Extremely Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
08/09/2023 21:41,09/09/2023 03:28,100,20812,TRUE,09/09/2023 03:28,R_29ucbSwSSypFlyY,,,,,40.0181,-83.0117,anonymous,EN-GB,Yes,United States of America,Asian-Indian,"Jazz ,Rock  ,Opera ,Folk ,Latin ,Western Classical ,Indian Classical ,Other Indian Music,Others",Central Asian,45,Professional musician,,Continue,,,,,,,,,,,,,,,,,,,Not Similar,Moderately Similar,Similar,Extremely Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Similar,Not Similar,Not Similar,Very Similar,Similar,Similar,0,5,,,,,5,,,
09/09/2023 11:39,09/09/2023 11:56,100,996,TRUE,09/09/2023 11:56,R_1BUUZ8KJd6TXI3o,,,,,54.7699,-1.559,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Rock  ,Pop ,Metal ,Folk ,Others",Afrobeat,24,Nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Extremely Similar,Moderately Similar,Very Similar,Slightly Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Extremely Similar,Not Similar,Very Similar,Very Similar,Extremely Similar,Extremely Similar,0,5,,,,,5,,,
09/09/2023 12:15,09/09/2023 12:35,100,1149,TRUE,09/09/2023 12:35,R_26nUNLvHmnpC5l5,,,,,17.3724,78.4378,anonymous,EN-GB,Yes,India,Asian -Indian,Pop ,,27,Nonmusician,Continue,,Similar,Similar,Slightly Similar,Very Similar,Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,No,Yes,Continue,Very Similar,Similar,Similar,Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,3,0,2,2,33,,,,,
09/09/2023 12:43,09/09/2023 12:57,100,801,TRUE,09/09/2023 12:57,R_2AQpGA5ZLyuPTmC,,,,,23.2167,72.6833,anonymous,EN-GB,Yes,India,Asian-Indian,"Jazz ,Rock  ,Metal ,Western Classical ",,25,Amateur musician,Continue,,Not Similar,Very Similar,Slightly Similar,Very Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Slightly Similar,Similar,Moderately Similar,Very Similar,Very Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
09/09/2023 13:27,09/09/2023 13:48,100,1252,TRUE,09/09/2023 13:48,R_3R8ZLytA9EsjuyU,,,,,18.6161,73.7286,anonymous,EN-GB,Yes,India,Asian- Indian,"Pop ,Others",Bollywood,26,Nonmusician,Continue,,Not Similar,Slightly Similar,Similar,Slightly Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,Yes,Yes,Continue,Moderately Similar,Not at all similar,Slightly Similar,Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
09/09/2023 14:40,09/09/2023 14:48,100,483,TRUE,09/09/2023 14:48,R_3iBZSUzAyFTnxTA,,,,,28.9933,77.021,qr,EN-GB,Yes,India,Asian-Indian,"Jazz ,Folk ,Indian Classical ,Other Indian Music",,32,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Slightly Similar,Slightly Similar,Moderately Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,Yes,No,Continue,Slightly Similar,Not Similar,Moderately Similar,Very Similar,Very Similar,Similar,0,3,,,,,3,,,
09/09/2023 15:31,09/09/2023 15:43,100,716,TRUE,09/09/2023 15:43,R_2TpH4qJYWUzZHC7,,,,,32.7203,-117.1552,anonymous,EN-GB,Yes,United States of America,Indian,"Rock  ,Metal ,Reggae ,Indian Classical ",,24,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Not at all similar,Slightly Similar,Not Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Not Similar,Not at all similar,Not Similar,Slightly Similar,Extremely Similar,Extremely Similar,0,4,,,,,4,,,
09/09/2023 16:39,09/09/2023 16:57,100,1080,TRUE,09/09/2023 16:57,R_AuPn0tVQGFGyk13,,,,,17.3724,78.4378,anonymous,EN-GB,Yes,India,Asian- Indian,"Jazz ,Pop ,Folk ,Reggae ,Western Classical ,Indian Classical ,Other Indian Music,Others",R&B,25,Semiprofessional musician,Continue,,Very Similar,Very Similar,Very Similar,Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",Yes,Yes,No,No,Yes,Continue,Slightly Similar,Similar,Very Similar,Very Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
09/09/2023 16:47,09/09/2023 16:57,100,619,TRUE,09/09/2023 16:57,R_1eqUpRsLrncgs8i,,,,,45.4317,10.9859,anonymous,EN-GB,Yes,Italy,Asian - Indian,"Pop ,Indian Classical ,Other Indian Music",,29,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Slightly Similar,Moderately Similar,Very Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,Yes,Yes,No,Continue,Very Similar,Extremely Similar,Very Similar,Extremely Similar,Extremely Similar,Extremely Similar,0,3,,,,,3,,,
09/09/2023 17:10,09/09/2023 17:18,100,453,TRUE,09/09/2023 17:18,R_1C8iZ9KIKZBLwMO,,,,,23.0276,72.5871,anonymous,EN-GB,Yes,India,Indian ,"Western Classical ,Indian Classical ,Other Indian Music",,26,Semiprofessional musician,,Continue,,,,,,,,,,,,,,,,,,,Moderately Similar,Not Similar,Similar,Very Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,Yes,Continue,Similar,Not at all similar,Very Similar,,Moderately Similar,Extremely Similar,0,4,,,,,4,,,
09/09/2023 17:59,09/09/2023 18:09,100,638,TRUE,09/09/2023 18:09,R_Y37Skr4yM3t1fwt,,,,,52.3759,4.8975,anonymous,EN-GB,Yes,Turkey,Turk,"Jazz ,Rock  ,Metal ,Opera ,Folk ,Reggae ,Latin ,Western Classical ,Other Indian Music,Others","Fusion, Experimental, Xenharmonic, Microtonal, Spectral",33,Serious amateur musician,Continue,,Very Similar,Moderately Similar,Similar,Slightly Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,Yes,Yes,Continue,Extremely Similar,Similar,Slightly Similar,Moderately Similar,Very Similar,Very Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
09/09/2023 23:54,10/09/2023 00:12,100,1033,TRUE,10/09/2023 00:12,R_2zYizc92c1r4sxQ,,,,,51.8513,5.8638,anonymous,EN-GB,Yes,Netherlands,Asian-Indian,"Jazz ,Rock  ,Pop ,Folk ,Indian Classical ,Other Indian Music",,31,Music-loving nonmusician,Continue,,Slightly Similar,Not at all similar,Not at all similar,Not Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Similar,Not at all similar,Not Similar,Moderately Similar,Similar,Similar,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,
10/09/2023 09:16,10/09/2023 09:24,100,456,TRUE,10/09/2023 09:24,R_3p4FGv5eu2ZdC8I,,,,,28.6542,77.2373,anonymous,EN-GB,Yes,India,Indian ,"Indian Classical ,Other Indian Music",,24,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Not Similar,Not Similar,Not Similar,Not Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Similar,Not at all similar,Not Similar,Not Similar,Extremely Similar,Similar,0,4,,,,,4,,,
10/09/2023 12:56,10/09/2023 13:03,100,426,TRUE,10/09/2023 13:03,R_2wtprv7pRZJ2Ojq,,,,,22.518,88.3832,anonymous,EN-GB,Yes,India,Asian-Indian,"Opera ,Indian Classical ,Other Indian Music",,22,Semiprofessional musician,Continue,,Similar,Not at all similar,Slightly Similar,Not Similar,Moderately Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,Yes,Continue,Not at all similar,Slightly Similar,Not at all similar,Moderately Similar,Similar,Not Similar,,,,,,,,,,,,,,,,,,,4,0,2,2,44,,,,,
10/09/2023 17:38,10/09/2023 17:49,100,652,TRUE,10/09/2023 17:49,R_1EYSU7KE5Mkoz2g,,,,,54.9735,-1.5673,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White,"Rock  ,Pop ,Metal ,Folk ",,36,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Very Similar,Similar,Slightly Similar,Extremely Similar,Slightly Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Not Similar,Very Similar,Very Similar,Very Similar,Similar,Extremely Similar,0,5,,,,,5,,,
11/09/2023 00:23,11/09/2023 00:29,100,377,TRUE,11/09/2023 00:29,R_1ouMNfVWF83qtdH,,,,,51.364,-0.392,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British,"Jazz ,Rock  ,Pop ,Metal ,Opera ,Folk ,Reggae ,Latin ,Western Classical ",,22,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Similar,Very Similar,Slightly Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,Yes,No,Continue,Slightly Similar,Very Similar,Very Similar,Very Similar,Extremely Similar,Extremely Similar,0,3,,,,,3,,,
11/09/2023 10:23,11/09/2023 10:36,100,799,TRUE,11/09/2023 10:36,R_5p6LcboySRm53CF,,,,,55.867,-4.2621,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White british ,"Rock  ,Pop ,Folk ",,23,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Similar,Slightly Similar,Very Similar,Very Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",Yes,Yes,No,No,No,Continue,Moderately Similar,Very Similar,Not at all similar,Not at all similar,Very Similar,Very Similar,0,4,,,,,4,,,
11/09/2023 14:53,11/09/2023 15:05,100,697,TRUE,11/09/2023 15:05,R_AyrIl6TkbcwWOu5,,,,,54.9742,-1.615,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,Asian - Chinese,"Jazz ,Pop ",,27,Music-loving nonmusician,,Continue,,,,,,,,,,,,,,,,,,,Slightly Similar,Not at all similar,Very Similar,Moderately Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,No,No,Continue,Not Similar,Not Similar,Very Similar,Slightly Similar,Extremely Similar,Very Similar,0,3,,,,,3,,,
11/09/2023 16:35,11/09/2023 16:53,100,1067,TRUE,11/09/2023 16:53,R_2YCTOYSqKbz3c9p,,,,,17.3724,78.4378,anonymous,EN-GB,Yes,India,Asian - Indian ,"Jazz ,Rock  ,Pop ,Western Classical ,Other Indian Music,Others","K-pop, KRnB, RnB",22 years,Amateur musician,Continue,,Very Similar,Moderately Similar,Very Similar,Extremely Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,No,No,No,No,Continue,Very Similar,Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
12/09/2023 07:36,12/09/2023 08:42,100,3998,TRUE,12/09/2023 08:42,R_1gcpkvXjGQmV0Ko,,,,,32.7203,-117.1552,anonymous,EN-GB,Yes,United States of America,Asian- Indian,"Rock  ,Pop ,Metal ,Western Classical ,Indian Classical ,Other Indian Music",,23,Amateur musician,,Continue,,,,,,,,,,,,,,,,,,,Slightly Similar,Very Similar,Very Similar,Very Similar,Extremely Similar,"I can now count the number of beats, and I am ready to continue.",No,Yes,No,No,No,Continue,Slightly Similar,Similar,Similar,Very Similar,Extremely Similar,Extremely Similar,0,5,,,,,5,,,
12/09/2023 20:01,12/09/2023 20:12,100,684,TRUE,12/09/2023 20:12,R_2uyZsFY8RBNAvql,,,,,53.4113,-2.9759,anonymous,EN-GB,Yes,United Kingdom of Great Britain and Northern Ireland,White British ,"Rock  ,Pop ,Others","Rap/Hip-Hop, R&B, Indie & House ",23,Music-loving nonmusician,Continue,,Extremely Similar,Very Similar,Similar,Very Similar,Very Similar,"I can now count the number of beats, and I am ready to continue.",No,No,Yes,No,Yes,Continue,Slightly Similar,Moderately Similar,Slightly Similar,Very Similar,Extremely Similar,Extremely Similar,,,,,,,,,,,,,,,,,,,3,0,3,,,,,,,
